 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL 
535,0,0,1,1,0,1,0,0,0,0,3
536,0,0,0,0,0,1,0,0,1,0,2
537,0,0,0,0,0,1,0,0,0,0,1
538,0,0,0,0,0,1,0,0,1,0,2
539,0,1,1,1,0,1,0,0,1,0,5
540,0,1,1,1,0,1,0,0,1,0,5
541,0,1,1,0,0,1,0,0,1,0,4
542,0,0,0,1,0,1,0,0,1,0,3
543,0,0,0,1,0,1,0,0,1,0,3
544,0,0,0,0,0,0,0,0,0,1,1
545,0,0,0,0,0,0,0,0,1,0,1
546,0,0,0,0,0,0,0,1,1,0,2
547,0,0,0,0,0,0,0,0,0,1,1
548,0,0,1,1,0,1,0,0,1,0,4
549,0,0,0,0,0,0,0,0,0,1,1
550,0,0,1,1,0,0,0,0,1,0,3
551,0,0,1,1,0,1,0,1,0,0,4
552,0,0,1,0,0,1,0,0,1,0,3
553,0,1,1,1,0,1,0,0,1,0,5
554,0,0,0,0,0,0,0,0,1,0,1
555,0,1,1,1,1,1,0,0,1,0,6
556,1,0,0,1,0,0,0,0,1,0,3
557,0,0,1,1,0,1,0,0,0,0,3
558,0,0,0,1,0,1,0,0,0,0,2
559,0,0,0,0,0,1,0,0,1,0,2
560,0,0,1,1,0,1,0,0,0,0,3
561,0,0,1,0,0,1,0,0,1,0,3
562,0,0,1,1,0,1,0,0,0,0,3
563,1,0,1,0,0,0,0,0,0,0,2
564,0,0,0,0,0,0,0,0,1,0,1
565,0,0,0,0,0,0,0,0,0,1,1
567,0,0,1,0,0,1,0,0,1,0,3
568,0,1,0,1,0,1,0,0,1,0,4
569,0,0,0,0,0,0,0,0,1,0,1
570,0,0,1,0,0,0,0,0,1,0,2
571,0,0,0,1,0,0,0,0,1,0,2
572,0,0,0,0,0,0,0,0,0,1,1
573,0,0,1,0,0,0,0,0,1,0,2
